word,transcription,definition,level,categories,raw
April,/ˈeɪprəl/,"The fourth month of the year.",A1,"Time;Months",
August,/ˈɔːɡəst/,"The eighth month of the year.",A1,"Time;Months",
CD,/ˌsiːˈdiː/,"Abbreviation for compact disc; a small plastic disc used to store digital data.",A1,"Technology;Objects;Abbreviations",
DVD,/ˌdiːviːˈdiː/,"Abbreviation for digital versatile disc; a type of compact disc able to store large amounts of data, such as a movie.",A1,"Technology;Objects;Abbreviations",
December,/dɪˈsɛmbər/,"The twelfth and final month of the year.",A1,"Time;Months",
February,/ˈfɛbruˌɛri/,"The second month of the year.",A1,"Time;Months",
Friday,/ˈfraɪdeɪ/,"The day of the week before Saturday and following Thursday.",A1,"Time;Days",
I,/aɪ/,"Used by a speaker to refer to himself or herself.",A1,"Pronouns;Grammar",
January,/ˈdʒænjuˌɛri/,"The first month of the year.",A1,"Time;Months",
July,/dʒʊˈlaɪ/,"The seventh month of the year.",A1,"Time;Months",
June,/dʒuːn/,"The sixth month of the year.",A1,"Time;Months",
March,/mɑːrtʃ/,"The third month of the year.",A1,"Time;Months",
May,/meɪ/,"The fifth month of the year.",A1,"Time;Months",
Monday,/ˈmʌndeɪ/,"The day of the week before Tuesday and following Sunday.",A1,"Time;Days",
November,/noʊˈvɛmbər/,"The eleventh month of the year.",A1,"Time;Months",
OK,/ˌoʊˈkeɪ/,"An expression of approval, agreement, or understanding.",A1,"Interjections;Phrases",
October,/ɒkˈtoʊbər/,"The tenth month of the year.",A1,"Time;Months",
September,/sɛpˈtɛmbər/,"The ninth month of the year.",A1,"Time;Months",
Sunday,/ˈsʌndeɪ/,"The day of the week before Monday and following Saturday.",A1,"Time;Days",
T-shirt,/ˈtiːˌʃɜːrt/,"A short-sleeved casual top, having the shape of a T when spread out flat.",A1,"Clothing;Objects",
TV,/ˌtiːˈviː/,"Abbreviation for television; a system for transmitting visual images and sound that are reproduced on screens.",A1,"Technology;Objects;House;Abbreviations",
Thursday,/ˈθɜːrzdeɪ/,"The day of the week before Friday and following Wednesday.",A1,"Time;Days",
Tuesday,/ˈtuːzdeɪ/,"The day of the week before Wednesday and following Monday.",A1,"Time;Days",
Wednesday,/ˈwɛnzdeɪ/,"The day of the week before Thursday and following Tuesday.",A1,"Time;Days",
about,/əˈbaʊt/,"On the subject of, or concerning.",A1,"Prepositions;Grammar",
above,/əˈbʌv/,"In or to a higher position than something else.",A1,"Prepositions;Grammar",
across,/əˈkrɔːs/,"From one side to the other of a place or area.",A1,"Prepositions;Grammar",
action,/ˈækʃən/,"The process of doing something to achieve an aim.",A1,"Nouns;General",
activity,/ækˈtɪvəti/,"A thing that a person or group does or has done.",A1,"Nouns;Leisure",
actor,/ˈæktər/,"A person whose profession is acting on the stage, in movies, or on television.",A1,"People;Professions;Arts",
actress,/ˈæktrəs/,"A woman whose profession is acting on the stage, in movies, or on television.",A1,"People;Professions;Arts",
add,/æd/,"To put something with another thing or group of things.",A1,"Verbs;Math",
address,/ˈæˌdrɛs/,"The particulars of the place where someone lives or an organization is situated.",A1,"Nouns;Places;Communication",
adult,/əˈdʌlt/,"A person who is fully grown or developed.",A1,"People;Family",
advice,/ədˈvaɪs/,"Guidance or recommendations offered with regard to prudent future action.",A1,"Nouns;Communication",
afraid,/əˈfreɪd/,"Feeling fear or anxiety; frightened.",A1,"Adjectives;Feelings",
after,/ˈæftər/,"During the period of time following an event.",A1,"Prepositions;Time;Grammar",
afternoon,/ˌæftərˈnuːn/,"The time from noon or lunchtime to evening.",A1,"Time;Nouns",
again,/əˈɡɛn/,"Another time; once more.",A1,"Adverbs;Time",
age,/eɪdʒ/,"The length of time that a person has lived or a thing has existed.",A1,"Nouns;Time;People",
ago,/əˈɡoʊ/,"Before the present; earlier.",A1,"Adverbs;Time",
agree,/əˈɡriː/,"To have the same opinion about something; to say that you have the same opinion.",A1,"Verbs;Communication",
air,/ɛər/,"The invisible gaseous substance surrounding the earth, a mixture mainly of oxygen and nitrogen.",A1,"Nouns;Nature",
airport,/ˈɛrˌpɔrt/,"A place where aircraft regularly take off and land, with buildings for passengers and staff.",A1,"Places;Travel",
all,/ɔːl/,"Used to refer to the whole quantity or extent of a particular group or thing.",A1,"Determiners;Grammar",
also,/ˈɔːlsoʊ/,"In addition; too.",A1,"Adverbs;Grammar",
always,/ˈɔːlweɪz/,"At all times; on all occasions.",A1,"Adverbs;Time",
amazing,/əˈmeɪzɪŋ/,"Causing great surprise or wonder; astonishing.",A1,"Adjectives;Feelings",
an,/ən/,"The form of the indefinite article 'a' used before words beginning with a vowel sound.",A1,"Articles;Grammar",
and,/ænd/,"Used to connect words, clauses, or sentences.",A1,"Conjunctions;Grammar",
angry,/ˈæŋɡri/,"Feeling or showing strong annoyance, displeasure, or hostility.",A1,"Adjectives;Feelings",
animal,/ˈænəməl/,"A living organism that feeds on organic matter, typically having specialized sense organs and nervous system.",A1,"Nouns;Animals;Nature",
another,/əˈnʌðər/,"Used to refer to an additional person or thing of the same type as one already mentioned.",A1,"Determiners;Grammar",
answer,/ˈænsər/,"A thing said, written, or done to deal with a question, statement, or situation.",A1,"Nouns;Verbs;Communication",
any,/ˈɛni/,"Used to refer to one or some of a thing or number of things, no matter how much or many.",A1,"Determiners;Grammar",
anyone,/ˈɛniˌwʌn/,"Any person or people.",A1,"Pronouns;Grammar",
anything,/ˈɛniˌθɪŋ/,"A thing of any kind.",A1,"Pronouns;Grammar",
apartment,/əˈpɑrtmənt/,"A suite of rooms forming one residence, typically in a building containing a number of these.",A1,"Places;House;Nouns",
apple,/ˈæpəl/,"A round fruit with firm, white flesh and a green or red skin.",A1,"Food;Plants;Nouns",
area,/ˈɛriə/,"A region or part of a town, a country, or the world.",A1,"Nouns;Places",
arm,/ɑːrm/,"Either of the two upper limbs of the human body from the shoulder to the hand.",A1,"Nouns;Body Parts",
around,/əˈraʊnd/,"Located or situated on every side.",A1,"Prepositions;Adverbs",
arrive,/əˈraɪv/,"To reach a place at the end of a journey or a stage in a journey.",A1,"Verbs;Travel",
art,/ɑːrt/,"The expression of human creative skill and imagination, producing works to be appreciated for their beauty or emotional power.",A1,"Nouns;Arts;Education",
article,/ˈɑːrtɪkl/,"A piece of writing included with others in a newspaper, magazine, or other publication.",A1,"Nouns;Media;Education",
artist,/ˈɑːrtɪst/,"A person who creates paintings, sculptures, or other art forms as a profession or hobby.",A1,"Nouns;People;Professions;Arts",
as,/æz/,"Used to indicate the function or role of a person or thing.",A1,"Prepositions;Conjunctions;Grammar",
ask,/æsk/,"To say something in order to obtain an answer or information.",A1,"Verbs;Communication",
at,/æt/,"Used to express location or arrival in a particular place or position.",A1,"Prepositions;Grammar",
aunt,/ænt/,"The sister of one's father or mother or the wife of one's uncle.",A1,"Nouns;Family;People",
autumn,/ˈɔːtəm/,"The season after summer and before winter, when leaves fall from the trees. Also called fall in North American English.",A1,"Nouns;Seasons;Time",
away,/əˈweɪ/,"To or at a distance from a particular place, person, or thing.",A1,"Adverbs;Places",
baby,/ˈbeɪbi/,"A very young child, especially one newly born or in infancy.",A1,"Nouns;Family;People",
back,/bæk/,"The rear surface of the human body from the shoulders to the hips.",A1,"Nouns;Adverbs;Body Parts",
bad,/bæd/,"Of poor quality or a low standard; unpleasant.",A1,"Adjectives;General",
bag,/bæɡ/,"A flexible container with an opening at the top, used for carrying things.",A1,"Nouns;Objects",
ball,/bɔːl/,"A solid or hollow spherical or ovoid object that is kicked, thrown, or hit in a game.",A1,"Nouns;Objects;Sports",
banana,/bəˈnænə/,"A long curved fruit which grows in clusters and has soft pulpy flesh and yellow skin when ripe.",A1,"Nouns;Food;Plants",
band,/bænd/,"A small group of musicians who play popular music together.",A1,"Nouns;Music;Arts",
bank,/bæŋk/,"A financial establishment that invests money deposited by customers, pays it out when required, makes loans, and exchanges currency.",A1,"Nouns;Places;Money",
bath,/bæθ/,"A large container for water, used for washing the body.",A1,"Nouns;House;Objects",
be,/biː/,"To exist or live; a fundamental verb used to describe a state of being or identity.",A1,"Verbs;Grammar",
beach,/biːtʃ/,"A pebbly or sandy shore, especially by the ocean, between high- and low-water marks.",A1,"Nouns;Places;Nature",
beautiful,/ˈbjuːtɪfəl/,"Pleasing the senses or mind aesthetically; very attractive.",A1,"Adjectives;Appearance",
because,/bɪˈkɔːz/,"Used to introduce a word or phrase that stands for a clause expressing a reason.",A1,"Conjunctions;Grammar",
become,/bɪˈkʌm/,"To begin to be; to turn into.",A1,"Verbs;General",
bed,/bɛd/,"A piece of furniture used for sleep or rest.",A1,"Nouns;House;Furniture",
bedroom,/ˈbɛdˌruːm/,"A room used for sleeping in.",A1,"Nouns;House;Places",
beer,/bɪər/,"An alcoholic drink made from yeast-fermented malt flavored with hops.",A1,"Nouns;Food;Drinks",
before,/bɪˈfɔːr/,"During the period of time preceding a particular event or time.",A1,"Prepositions;Adverbs;Time",
begin,/bɪˈɡɪn/,"To start, perform, or undergo the first part of an action or activity.",A1,"Verbs;General",
beginning,/bɪˈɡɪnɪŋ/,"The point in time or space at which something starts.",A1,"Nouns;Time",
behind,/bɪˈhaɪnd/,"At or to the far side or back side of something.",A1,"Prepositions;Adverbs;Places",
believe,/bɪˈliːv/,"To accept that something is true, especially without proof.",A1,"Verbs;Communication;Feelings",
below,/bɪˈloʊ/,"At a lower level, layer, or grade than.",A1,"Adverbs;Prepositions;Places",
best,/bɛst/,"Of the most excellent or desirable type or quality. The superlative form of 'good'.",A1,"Adjectives;Grammar",
better,/ˈbɛtər/,"Of a more excellent or effective type or quality. The comparative form of 'good'.",A1,"Adjectives;Grammar",
between,/bɪˈtwiːn/,"At, into, or across the space separating two objects, places, or points.",A1,"Prepositions;Grammar",
bicycle,/ˈbaɪsɪkl/,"A vehicle with two wheels held in a frame one behind the other, propelled by pedals.",A1,"Nouns;Transport;Objects",
big,/bɪɡ/,"Of considerable size, extent, or intensity.",A1,"Adjectives;Size",
bike,/baɪk/,"An informal word for a bicycle or motorcycle.",A1,"Nouns;Transport;Objects",
bill,/bɪl/,"A printed or written statement of the money owed for goods or services.",A1,"Nouns;Money;Shopping",
bird,/bɜːrd/,"A warm-blooded egg-laying vertebrate distinguished by the possession of feathers, wings, and a beak.",A1,"Nouns;Animals;Nature",
birthday,/ˈbɜːrθdeɪ/,"The anniversary of the day on which a person was born, typically treated as an occasion for celebration.",A1,"Nouns;Events;Time",
black,/blæk/,"Of the very darkest color owing to the absence of or complete absorption of light; the opposite of white.",A1,"Adjectives;Colors",
blog,/blɒɡ/,"A regularly updated website or web page, typically one run by an individual or small group, that is written in an informal or conversational style.",A1,"Nouns;Technology;Media",
blonde,/blɒnd/,"(Of hair) fair or pale yellow in color.",A1,"Adjectives;Colors;Appearance",
blue,/bluː/,"Of a color intermediate between green and violet, as of the sky on a clear day.",A1,"Adjectives;Colors",
boat,/boʊt/,"A vessel for travel on water, propelled by oars, sails, or an engine.",A1,"Nouns;Transport;Objects",
body,/ˈbɒdi/,"The physical structure, including the bones, flesh, and organs, of a person or an animal.",A1,"Nouns;Body Parts",
book,/bʊk/,"A written or printed work consisting of pages glued or sewn together along one side and bound in covers.",A1,"Nouns;Objects;Education",
boot,/buːt/,"A sturdy item of footwear covering the foot and ankle, and sometimes also the lower leg.",A1,"Nouns;Clothing;Objects",
bored,/bɔːrd/,"Feeling weary because one is unoccupied or lacks interest in one's current activity.",A1,"Adjectives;Feelings",
boring,/ˈbɔːrɪŋ/,"Not interesting; tedious.",A1,"Adjectives;Feelings",
born,/bɔːrn/,"Existing as a result of birth. Used as the past participle of 'bear'.",A1,"Verbs;People",
both,/boʊθ/,"Used to refer to two people or things, regarded and identified together.",A1,"Determiners;Grammar",
bottle,/ˈbɒtəl/,"A container, typically made of glass or plastic and with a narrow neck, used for holding liquids.",A1,"Nouns;Objects;Containers",
box,/bɒks/,"A container with a flat base and sides, typically square or rectangular and having a lid.",A1,"Nouns;Objects;Containers",
boy,/bɔɪ/,"A male child or young man.",A1,"Nouns;People;Family",
boyfriend,/ˈbɔɪfrɛnd/,"A person's regular male romantic or sexual partner.",A1,"Nouns;People;Relationships",
bread,/brɛd/,"A food made of flour, water, and yeast mixed together and baked.",A1,"Food;Nouns",
break,/breɪk/,"To separate into pieces as a result of a blow, shock, or strain.",A1,"Verbs;Actions",
breakfast,/ˈbrɛkfəst/,"The first meal of the day, eaten in the morning.",A1,"Food;Meals;Nouns",
bring,/brɪŋ/,"To take or carry someone or something to a place.",A1,"Verbs;Actions",
brother,/ˈbrʌðər/,"A man or boy with one or both parents in common with another person.",A1,"Family;People;Nouns",
brown,/braʊn/,"Of a color produced by mixing red, yellow, and blue, like that of soil or wood.",A1,"Colors;Adjectives",
build,/bɪld/,"To construct something by putting parts or materials together over a period of time.",A1,"Verbs;Actions",
building,/ˈbɪldɪŋ/,"A structure with a roof and walls, such as a house or factory.",A1,"Places;Nouns",
bus,/bʌs/,"A large motor vehicle carrying passengers by road, typically one serving the public on a fixed route.",A1,"Transport;Objects;Nouns",
business,/ˈbɪznəs/,"The activity of buying and selling goods and services; a person's regular occupation or trade.",A1,"Work;Money;Nouns",
busy,/ˈbɪzi/,"Having a great deal to do; occupied.",A1,"Adjectives;General",
but,/bʌt/,"Used to introduce a phrase or clause contrasting with what has already been mentioned.",A1,"Conjunctions;Grammar",
butter,/ˈbʌtər/,"A pale yellow edible fatty substance made by churning cream and used as a spread or in cooking.",A1,"Food;Nouns",
buy,/baɪ/,"To obtain something in exchange for payment.",A1,"Verbs;Shopping;Money",
by,/baɪ/,"Identifying the agent performing an action; indicating location, next to.",A1,"Prepositions;Grammar",
bye,/baɪ/,"An informal exclamation used when leaving.",A1,"Interjections;Communication",
cafe,/kæˈfeɪ/,"A small restaurant selling light meals and drinks.",A1,"Places;Food;Drinks",
cake,/keɪk/,"A sweet baked food made from a mixture of flour, sugar, eggs, and fat.",A1,"Food;Desserts;Nouns",
call,/kɔːl/,"To contact someone by phone; to give someone or something a name.",A1,"Verbs;Communication",
camera,/ˈkæmərə/,"A device for recording visual images in the form of photographs, film, or video signals.",A1,"Technology;Objects;Nouns",
can,/kæn/,"Used to express ability or to say that something is possible.",A1,"Verbs;Modals;Grammar",
capital,/ˈkæpɪtəl/,"The most important city in a country or region; a letter of the size and form used at the beginning of sentences and proper nouns.",A1,"Nouns;Places;Writing",
car,/kɑːr/,"A road vehicle, typically with four wheels, powered by an internal combustion engine or electric motor and able to carry a small number of people.",A1,"Nouns;Transport;Objects",
